Estado;Nome;Cidade;Endereco
RO; CENTRO DE DIALISE DE ARIQUEMES; Ariquemes; Av. Cap. Silvio, 3578 - Apoio Rodoviario Sul
RO; CENTRO DE DIALISE DE RONDONIA; Cacoal; Avenida Rosilene Xavier Transpadini, 2144 Eldorado
RO; CLINERON PORTO VELHO; Porto Velho; Av. Rio Madeira, 2115 - Nova Porto Velho
RO; CLINERON; Ji-Parana; R. 7 de Setembro - Casa Preta
RO; HOSPITAL CEMETRON; Porto Velho; Av. Guaporé, 215 - Lagoa
RO; HOSPITAL DE AMOR AMAZONIA; Porto Velho;  15, BR-364
RO; HOSPITAL DE BASE PORTO VELHO; Porto Velho; Av. Gov. Jorge Teixeira, 3766 - Industrial
RO; HOSPITAL DE RETAGUARDA DE RONDONIA; Porto Velho; Rua: Joaquim Nabuco, 2718 - Areal
RO; HOSPITAL JOAO PAULO II PORTO VELHO; Porto Velho; Av. Campos Sales, 4295 - Nova Floresta
RO; HOSPITAL REGIONAL ADAMASTOR TEIXEIRA DE OLIVEIRA; Vilhena; Av. Sabino Bezerra de Queiroz, 4531 - Jardim América
RO; INSTITUTO DO RIM DE VILHENA; Vilhena; Av. Rony de Castro Pereira, 4548 - Jardim América
RO; NEFRON SERVICOS DE NEFROLOGIA; Porto Velho; R. Abunã, 2221 - São João Bosco
